playerID,birth_year,name_first,name_last,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
thobeto01,1969.0,Tom,Thobe,195.0,78.0,L,L,1995-09-12,1996-04-25,thobt001,thobeto01
tholejo01,1986.0,Josh,Thole,205.0,73.0,L,R,2009-09-03,2015-10-04,tholj001,tholejo01
thomaan01,1963.0,Andres,Thomas,170.0,73.0,R,R,1985-09-03,1990-09-16,thoma001,thomaan01
thomabr01,1977.0,Brad,Thomas,235.0,76.0,L,L,2001-05-26,2011-05-10,thomb001,thomabr01
thomach01,1978.0,Charles,Thomas,190.0,72.0,L,L,2004-06-23,2005-06-08,thomc001,thomach01
thomacl02,1983.0,Clete,Thomas,200.0,71.0,L,R,2008-03-31,2013-09-29,thomc002,thomacl02
thomafr04,1968.0,Frank,Thomas,240.0,77.0,R,R,1990-08-02,2008-08-29,thomf001,thomafr04
thomaia01,1987.0,Ian,Thomas,215.0,76.0,R,L,2014-03-31,2015-09-27,thomi001,thomaia01
thomaju01,1984.0,Justin,Thomas,220.0,75.0,L,L,2008-09-01,2012-09-24,thomj006,thomaju01
thomala01,1969.0,Larry,Thomas,195.0,73.0,R,L,1995-08-11,1997-05-25,thoml001,thomala01
thomami01,1969.0,Mike,Thomas,205.0,74.0,L,L,1995-07-12,1995-07-12,thomm003,thomami01
thomeji01,1970.0,Jim,Thome,250.0,76.0,L,R,1991-09-04,2012-10-03,thomj002,thomeji01
thompaa01,1987.0,Aaron,Thompson,205.0,75.0,L,L,2011-08-24,2015-07-05,thoma003,thompaa01
thompan02,1975.0,Andy,Thompson,210.0,75.0,R,R,2000-05-02,2000-05-04,thoma002,thompan02
thompbr01,1982.0,Brad,Thompson,190.0,73.0,R,R,2005-05-08,2010-06-02,thomb002,thompbr01
thompda02,1985.0,Daryl,Thompson,205.0,72.0,R,R,2008-06-21,2011-05-26,thomd003,thompda02
thompde01,1981.0,Derek,Thompson,180.0,74.0,L,L,2005-05-28,2005-06-23,thomd002,thompde01
thompja02,1971.0,Jason,Thompson,200.0,76.0,L,L,1996-06-09,1996-06-22,thomj004,thompja02
thompju02,1973.0,Justin,Thompson,215.0,76.0,L,L,1996-05-27,2005-08-25,thomj003,thompju02
thompke01,1979.0,Kevin,Thompson,195.0,70.0,R,R,2006-06-03,2007-09-30,thomk001,thompke01
thompma01,1971.0,Mark,Thompson,205.0,74.0,R,R,1994-07-26,2000-07-27,thomm002,thompma01
thompmi02,1959.0,Milt,Thompson,170.0,71.0,L,R,1984-09-04,1996-07-28,thomm001,thompmi02
thompmi03,1980.0,Mike,Thompson,200.0,76.0,R,R,2006-05-17,2007-08-11,thomm004,thompmi03
thompri01,1958.0,Rich,Thompson,225.0,75.0,R,R,1985-04-28,1990-04-22,thomr002,thompri01
thompri02,1979.0,Rich,Thompson,190.0,74.0,L,R,2004-04-07,2012-10-03,thomr005,thompri02
thompri03,1984.0,Rich,Thompson,210.0,73.0,R,R,2007-09-01,2012-04-23,thomr006,thompri03
thompro01,1962.0,Robby,Thompson,165.0,71.0,R,R,1986-04-08,1996-09-22,thomr003,thompro01
thompry01,1967.0,Ryan,Thompson,200.0,75.0,R,R,1992-09-01,2002-09-17,thomr004,thompry01
thompsc01,1955.0,Scot,Thompson,195.0,75.0,L,L,1978-09-03,1985-10-04,thoms001,thompsc01
thompta01,1987.0,Taylor,Thompson,225.0,77.0,R,R,2014-07-20,2014-08-03,thomt001,thompta01
thomptr01,1991.0,Trayce,Thompson,210.0,75.0,R,R,2015-08-04,2015-10-04,thomt002,thomptr01
thomsjo01,1973.0,John,Thomson,175.0,75.0,R,R,1997-05-11,2007-07-01,thomj005,thomsjo01
thondi01,1958.0,Dickie,Thon,160.0,71.0,R,R,1979-05-22,1993-10-03,thond001,thondi01
thormsc01,1982.0,Scott,Thorman,225.0,75.0,L,R,2006-06-18,2007-09-30,thors001,thormsc01
thornlo01,1963.0,Lou,Thornton,185.0,74.0,L,R,1985-04-08,1990-04-24,thorl001,thornlo01
thornma01,1976.0,Matt,Thornton,235.0,78.0,L,L,2004-06-27,2015-09-28,thorm001,thornma01
thornty01,1988.0,Tyler,Thornburg,190.0,71.0,R,R,2012-06-19,2015-09-30,thort001,thornty01
threeer01,1981.0,Erick,Threets,240.0,77.0,L,L,2007-09-12,2010-08-27,three001,threeer01
thurmco01,1978.0,Corey,Thurman,235.0,74.0,R,R,2002-04-05,2003-08-13,thurc001,thurmco01
thurmga01,1964.0,Gary,Thurman,170.0,70.0,R,R,1987-08-30,1997-05-26,thurg001,thurmga01
thurmma01,1956.0,Mark,Thurmond,180.0,72.0,L,L,1983-05-14,1990-09-02,thurm001,thurmma01
thurmmi01,1973.0,Mike,Thurman,190.0,76.0,R,R,1997-09-02,2002-09-14,thurm002,thurmmi01
thursjo01,1979.0,Joe,Thurston,225.0,71.0,L,R,2002-09-02,2011-08-05,thurj001,thursjo01
tibbsja01,1962.0,Jay,Tibbs,185.0,75.0,R,R,1984-07-15,1990-07-07,tibbj001,tibbsja01
tiffete01,1979.0,Terry,Tiffee,225.0,74.0,B,R,2004-09-01,2008-06-05,tifft001,tiffete01
tillmch01,1988.0,Chris,Tillman,200.0,77.0,R,R,2009-07-29,2015-10-04,tillc001,tillmch01
tillmru01,1960.0,Rusty,Tillman,185.0,72.0,R,R,1982-06-06,1988-06-18,tillr001,tillmru01
timlimi01,1966.0,Mike,Timlin,205.0,76.0,R,R,1991-04-08,2008-09-28,timlm001,timlimi01
timmooz01,1970.0,Ozzie,Timmons,205.0,74.0,R,R,1995-04-26,2000-10-01,timmo001,timmooz01
